filename,video_id,channel,viral_status,domain,lean,duration_seconds,cuts_per_minute,silence_pct,wpm,music_detected,tempo_bpm,high_activation_pct,recovery_pct,recovery_periods,max_activation_streak,energy_cv,pitch_cv,relentlessness_composite
Ali_Abdaal_average_OlJ7PP2VJPQ.webm,OlJ7PP2VJPQ,Ali Abdaal,average,non-political,,28.4,0.0,2.21,268.9,True,95.7,0.0,100.0,0,0,0.675,0.3566,30.9
Ali_Abdaal_average_TgKWKzrbMnc.webm,TgKWKzrbMnc,Ali Abdaal,average,non-political,,7.03,0.0,0.0,42.9,False,0.0,0.0,100.0,0,0,0,0,45.0
Ali_Abdaal_average_VpoYIixm1ho.webm,VpoYIixm1ho,Ali Abdaal,average,non-political,,76.47,0.0,0.0,270.3,True,123.0,18.2,81.8,7,4,0.5755,0.1713,43.5
Ali_Abdaal_average_eXV3wfv_Y24.webm,eXV3wfv_Y24,Ali Abdaal,average,non-political,,88.29,0.0,0.29,274.1,True,95.7,28.1,71.9,11,6,0.4941,0.2469,50.5
Ali_Abdaal_average_rkorr-tHPTM.webm,rkorr-tHPTM,Ali Abdaal,average,non-political,,29.76,0.0,0.08,231.1,True,107.7,36.7,63.3,4,4,0.6238,0.2259,52.7
Ali_Abdaal_average_uZUGmQ4Hbq8.webm,uZUGmQ4Hbq8,Ali Abdaal,average,non-political,,81.52,0.0,0.0,278.0,True,129.2,19.5,80.5,7,5,0.4463,0.2126,46.8
Ali_Abdaal_viral_6R0QIkWyAdI.webm,6R0QIkWyAdI,Ali Abdaal,viral,non-political,,47.65,0.0,0.19,215.2,True,123.0,21.3,78.7,5,4,0.4011,0.4036,48.6
Ali_Abdaal_viral_LE5uwaOvqEY.webm,LE5uwaOvqEY,Ali Abdaal,viral,non-political,,79.76,0.0,0.23,288.3,True,129.2,16.2,83.8,4,5,0.6298,0.1984,41.3
Ali_Abdaal_viral_OsQ4LK19KXw.webm,OsQ4LK19KXw,Ali Abdaal,viral,non-political,,8.1,29.63,3.15,303.5,True,136.0,71.4,28.6,1,5,0.8346,0.4605,66.8
Ali_Abdaal_viral_SEm1mNjIzVw.webm,SEm1mNjIzVw,Ali Abdaal,viral,non-political,,8.83,0.0,0.0,0,True,107.7,0,0,0,0,1.0882,0.7,50.0
Ali_Abdaal_viral_n7t_xzMla6E.webm,n7t_xzMla6E,Ali Abdaal,viral,non-political,,10.43,0.0,6.68,250.0,True,123.0,25.0,75.0,1,1,0.6711,0.5117,43.7
Ali_Abdaal_viral_uswh94elsUU.webm,uswh94elsUU,Ali Abdaal,viral,non-political,,51.37,0.0,8.5,93.3,True,143.6,45.0,55.0,6,6,0.3535,0.3002,60.6
Ben_Shapiro_average_1dFxqhfiFis.webm,1dFxqhfiFis,Ben Shapiro,average,political,right,23.36,0.0,1.19,200.9,True,136.0,65.2,34.8,5,4,0.672,0.3832,67.1
Ben_Shapiro_average_3-hdf0FFcjw.webm,3-hdf0FFcjw,Ben Shapiro,average,political,right,38.1,0.0,2.01,250.3,True,129.2,23.7,76.3,5,4,0.8361,0.192,40.8
Ben_Shapiro_average_c7M3QNz1Aps.webm,c7M3QNz1Aps,Ben Shapiro,average,political,right,41.42,0.0,0.11,229.3,True,89.1,34.1,65.9,4,4,0.4285,0.3542,55.2
Ben_Shapiro_average_cFJw0J8-JuY.webm,cFJw0J8-JuY,Ben Shapiro,average,political,right,19.33,0.0,0.0,253.4,True,143.6,30.0,70.0,2,2,0.5744,0.6796,50.0
Ben_Shapiro_average_dDC3jvw-fX8.webm,dDC3jvw-fX8,Ben Shapiro,average,political,right,18.9,0.0,0.0,229.3,True,136.0,36.8,63.2,3,4,0.464,0.1808,56.0
Ben_Shapiro_average_s-48PCa87sw.webm,s-48PCa87sw,Ben Shapiro,average,political,right,59.39,0.0,2.42,200.2,True,136.0,43.9,56.1,6,7,0.6575,0.3447,55.4
Ben_Shapiro_viral_5eCn5EEMD3k.webm,5eCn5EEMD3k,Ben Shapiro,viral,political,right,55.72,0.0,2.5,214.7,True,103.4,30.4,69.6,5,5,0.8031,0.3779,45.0
Ben_Shapiro_viral_LikZIeaVQqc.webm,LikZIeaVQqc,Ben Shapiro,viral,political,right,26.65,0.0,0.0,188.1,True,136.0,48.1,51.9,4,6,0.4523,0.2159,62.4
Ben_Shapiro_viral_Tt3g34RYe5s.webm,Tt3g34RYe5s,Ben Shapiro,viral,political,right,30.0,0.0,0.15,177.8,True,117.5,10.0,90.0,3,1,0.5179,0.3725,40.1
Ben_Shapiro_viral_XAqMhpTQrko.webm,XAqMhpTQrko,Ben Shapiro,viral,political,right,54.25,0.0,4.54,234.7,True,117.5,77.8,22.2,8,10,0.9974,0.2782,66.7
Ben_Shapiro_viral_XbWYEQnEsbw.webm,XbWYEQnEsbw,Ben Shapiro,viral,political,right,17.02,0.0,0.95,42.9,True,103.4,100.0,0.0,0,1,0.7982,0.2612,83.8
Ben_Shapiro_viral_ltBtX-JbClI.webm,ltBtX-JbClI,Ben Shapiro,viral,political,right,39.04,0.0,3.04,214.3,True,136.0,48.7,51.3,6,7,0.8843,0.3292,53.3
Fox_News_average_3tm1ZusFXus.webm,3tm1ZusFXus,Fox News,average,political,right,54.63,0.0,0.09,209.0,True,143.6,59.3,40.7,7,8,0.4445,0.1934,68.7
Fox_News_average_JlK4pi-2TKw.webm,JlK4pi-2TKw,Fox News,average,political,right,70.5,0.0,0.03,163.6,True,152.0,20.6,79.4,6,3,0.8371,0.1509,39.6
Fox_News_average_QkW4-Q_pwBA.webm,QkW4-Q_pwBA,Fox News,average,political,right,28.7,0.0,4.21,42.9,True,99.4,0.0,100.0,0,0,1.6005,0.0338,23.9
Fox_News_average_bEfgyTcYdBU.webm,bEfgyTcYdBU,Fox News,average,political,right,23.76,0.0,0.0,42.9,True,99.4,0.0,100.0,0,0,0.5492,0.0365,34.0
Fox_News_average_fqM9SPhVbNo.webm,fqM9SPhVbNo,Fox News,average,political,right,84.02,0.0,0.58,197.0,True,103.4,34.5,65.5,10,8,0.7069,0.2601,49.7
Fox_News_average_mV_iB0ceUc8.webm,mV_iB0ceUc8,Fox News,average,political,right,14.73,0.0,1.42,42.9,True,117.5,0.0,100.0,0,0,0.8206,0.5722,28.2
Fox_News_viral_3DA1kWmQrmg.webm,3DA1kWmQrmg,Fox News,viral,political,right,19.15,0.0,12.61,160.9,True,152.0,42.1,57.9,3,3,0.9821,0.2968,45.4
Fox_News_viral_7PxArQGs6UA.webm,7PxArQGs6UA,Fox News,viral,political,right,8.3,0.0,0.0,0,False,95.7,0,0,0,0,0.074,0.0557,68.5
Fox_News_viral_9o1FAWh8JY8.webm,9o1FAWh8JY8,Fox News,viral,political,right,50.85,0.0,0.05,138.7,True,107.7,32.0,68.0,6,6,0.9088,0.1818,44.4
Fox_News_viral_EKr88y4fdhc.webm,EKr88y4fdhc,Fox News,viral,political,right,64.5,0.0,0.0,160.1,True,92.3,26.2,73.8,8,6,0.8835,0.1557,41.7
Fox_News_viral_NQG5n4JxmEE.webm,NQG5n4JxmEE,Fox News,viral,political,right,38.07,0.0,2.62,131.7,True,123.0,59.5,40.5,5,9,1.2834,0.2621,57.1
Fox_News_viral_a3RBeyZqy6g.webm,a3RBeyZqy6g,Fox News,viral,political,right,12.03,0.0,0.0,0,False,0.0,0,0,0,0,0,0,70.0
Hasan_Piker_average_1f8p-z9wddQ.webm,1f8p-z9wddQ,Hasan Piker,average,political,left,35.3,0.0,10.66,158.0,True,89.1,30.3,69.7,4,5,0.8741,0.3322,41.5
Hasan_Piker_average_IAl5a3yH2I4.webm,IAl5a3yH2I4,Hasan Piker,average,political,left,73.73,0.0,3.24,149.1,True,117.5,43.2,56.8,11,6,0.7868,0.2581,52.2
Hasan_Piker_average_PN7RGbmYsUw.webm,PN7RGbmYsUw,Hasan Piker,average,political,left,36.7,0.0,0.38,234.2,True,136.0,54.1,45.9,5,10,0.5062,0.1942,64.5
Hasan_Piker_viral_RHb70tTXjas.webm,RHb70tTXjas,Hasan Piker,viral,political,left,32.37,0.0,5.17,214.0,True,123.0,21.2,78.8,4,3,0.7364,0.2997,40.6
Hasan_Piker_viral_vLDjXyDw8OI.webm,vLDjXyDw8OI,Hasan Piker,viral,political,left,44.43,0.0,2.19,223.0,True,136.0,55.6,44.4,3,9,0.5297,0.3599,64.4
Hasan_Piker_viral_xCVDxhcZMKs.webm,xCVDxhcZMKs,Hasan Piker,viral,political,left,49.43,0.0,3.43,205.7,True,123.0,51.0,49.0,8,5,0.7443,0.2152,57.3
MSNBC_average_DqpsyzFtpGo.webm,DqpsyzFtpGo,MSNBC,average,political,left,77.47,0.0,18.53,166.8,True,136.0,27.3,72.7,11,4,0.8445,0.2869,38.5
MSNBC_average_ZFbz4v0W-x8.webm,ZFbz4v0W-x8,MSNBC,average,political,left,47.63,0.0,3.66,185.3,True,103.4,27.7,72.3,5,5,0.7,0.3158,45.3
MSNBC_average_yoIGKjJfG8E.webm,yoIGKjJfG8E,MSNBC,average,political,left,62.5,0.0,6.5,184.9,True,129.2,21.0,79.0,7,4,1.0639,0.2485,34.9
MSNBC_viral_LOukrVYjJkM.webm,LOukrVYjJkM,MSNBC,viral,political,left,69.1,0.0,7.66,170.0,True,112.3,56.5,43.5,12,11,0.9005,0.175,56.2
MSNBC_viral_Lc3q2bbTUHw.webm,Lc3q2bbTUHw,MSNBC,viral,political,left,88.71,0.0,2.04,162.2,True,152.0,37.5,62.5,15,8,0.4754,0.2228,55.6
MSNBC_viral_u7SsoeEKpA8.webm,u7SsoeEKpA8,MSNBC,viral,political,left,44.78,0.0,3.53,206.5,True,103.4,25.0,75.0,5,3,1.0045,0.3027,37.9
Mel_Robbins_average_Gh7JXaAOcuA.webm,Gh7JXaAOcuA,Mel Robbins,average,non-political,,77.24,0.0,5.95,206.5,True,117.5,49.3,50.7,11,13,0.7888,0.3239,54.9
Mel_Robbins_average_V_yJmDhOjy0.webm,V_yJmDhOjy0,Mel Robbins,average,non-political,,41.71,0.0,2.45,159.9,True,89.1,34.4,65.6,8,4,0.6406,0.427,50.5
Mel_Robbins_average_jF5TPw9i_Ow.webm,jF5TPw9i_Ow,Mel Robbins,average,non-political,,69.49,0.0,6.05,161.0,True,143.6,21.5,78.5,6,3,1.0145,0.27,35.3
Mel_Robbins_viral_4qtL1_7zIq4.webm,4qtL1_7zIq4,Mel Robbins,viral,non-political,,59.26,0.0,3.45,168.7,True,103.4,44.1,55.9,10,4,0.6575,0.1793,55.2
Mel_Robbins_viral_kx-usHkf0pc.webm,kx-usHkf0pc,Mel Robbins,viral,non-political,,71.3,0.0,0.2,181.2,True,103.4,10.0,90.0,4,2,0.5904,0.3273,38.6
Mel_Robbins_viral_wY8vuB77_BU.webm,wY8vuB77_BU,Mel Robbins,viral,non-political,,53.63,0.0,1.3,177.8,True,95.7,26.9,73.1,5,4,0.554,0.3351,48.4
MrBeast_average_HcL1EQ5qD_g.webm,HcL1EQ5qD_g,MrBeast,average,non-political,,20.4,0.0,2.85,250.7,True,129.2,57.1,42.9,4,5,0.6119,0.3644,63.5
MrBeast_average_QtD-CeUdRUQ.webm,QtD-CeUdRUQ,MrBeast,average,non-political,,36.83,0.0,0.5,182.0,True,129.2,30.6,69.4,4,5,0.483,0.7821,52.0
MrBeast_average_R_BmT1OJw98.webm,R_BmT1OJw98,MrBeast,average,non-political,,14.33,0.0,0.16,301.7,True,136.0,0.0,100.0,0,0,0.3519,0.5351,37.9
MrBeast_average_YyNz4--6fro.webm,YyNz4--6fro,MrBeast,average,non-political,,11.35,0.0,0.0,192.5,True,103.4,0.0,100.0,0,0,0.5807,0.4713,33.4
MrBeast_average_gar4U3n-ILY.webm,gar4U3n-ILY,MrBeast,average,non-political,,36.53,39.42,0.0,151.6,True,129.2,43.2,56.8,6,6,0.8199,0.4375,52.4
MrBeast_average_uZY9xr-QAk0.webm,uZY9xr-QAk0,MrBeast,average,non-political,,33.2,0.0,0.0,167.3,True,95.7,18.5,81.5,2,3,0.3518,1.0201,48.1
MrBeast_viral_3GNyw4uaAqU.webm,3GNyw4uaAqU,MrBeast,viral,non-political,,14.43,0.0,0.16,217.6,True,172.3,13.3,86.7,2,1,0.5905,0.2203,40.5
MrBeast_viral_50G0kIty7Cg.webm,50G0kIty7Cg,MrBeast,viral,non-political,,38.4,0.0,0.12,238.2,True,112.3,44.7,55.3,4,7,0.4586,0.567,60.4
MrBeast_viral_IJkB-oapuks.webm,IJkB-oapuks,MrBeast,viral,non-political,,18.6,0.0,0.0,210.4,True,129.2,10.5,89.5,2,1,0.5237,0.2577,40.3
MrBeast_viral_KCRLP-zBacU.webm,KCRLP-zBacU,MrBeast,viral,non-political,,8.93,0.0,0.0,211.8,True,129.2,55.6,44.4,1,4,0.4432,0.2725,66.7
MrBeast_viral_N0pwLtonPdg.webm,N0pwLtonPdg,MrBeast,viral,non-political,,35.67,0.0,0.0,190.0,True,107.7,60.0,40.0,5,10,0.4368,0.221,69.3
MrBeast_viral__sBRk9ADpK8.webm,_sBRk9ADpK8,MrBeast,viral,non-political,,46.43,0.0,0.0,171.6,True,123.0,55.6,44.4,5,9,0.3932,0.7773,67.7
PragerU_average_-OUmG7672f0.webm,-OUmG7672f0,PragerU,average,political,right,48.75,0.0,0.0,208.3,True,136.0,38.8,61.2,5,9,0.5977,0.2194,54.4
PragerU_average_4pWutVVCq5Q.webm,4pWutVVCq5Q,PragerU,average,political,right,29.93,0.0,0.0,176.7,True,117.5,43.3,56.7,3,5,0.3249,0.232,62.3
PragerU_average_EfnPNiypqHU.webm,EfnPNiypqHU,PragerU,average,political,right,28.88,2.08,2.57,58.4,True,123.0,23.8,76.2,1,5,1.1949,0.3198,37.4
PragerU_average_VtY6yGgTBqU.webm,VtY6yGgTBqU,PragerU,average,political,right,17.78,0.0,66.32,172.7,False,103.4,71.4,28.6,1,4,0.5262,0.2047,57.2
PragerU_average_X-JV63mYtko.webm,X-JV63mYtko,PragerU,average,political,right,53.07,0.0,5.21,152.7,True,123.0,58.5,41.5,8,10,0.6545,0.1998,62.8
PragerU_average_cJsE9izoVgM.webm,cJsE9izoVgM,PragerU,average,political,right,90.03,0.0,0.52,163.7,True,143.6,43.5,56.5,9,10,0.4361,0.4615,60.1
PragerU_viral_3TtTNgj6dRY.webm,3TtTNgj6dRY,PragerU,viral,political,right,62.0,0.0,0.0,244.6,True,95.7,33.3,66.7,9,4,0.5768,0.3484,51.8
PragerU_viral_CppNZRIqHqI.webm,CppNZRIqHqI,PragerU,viral,political,right,41.63,0.0,0.0,237.9,True,129.2,60.0,40.0,5,12,0.6868,0.2794,64.3
PragerU_viral_J8cLPBI5V10.webm,J8cLPBI5V10,PragerU,viral,political,right,57.81,0.0,20.1,112.0,True,103.4,0.0,100.0,0,0,0.7916,0.4594,24.1
PragerU_viral_kmXZ5Mu0c4Q.webm,kmXZ5Mu0c4Q,PragerU,viral,political,right,23.48,0.0,3.66,42.9,True,89.1,100.0,0.0,0,1,0.8332,0.5912,82.4
PragerU_viral_rqAGw7wSSs8.webm,rqAGw7wSSs8,PragerU,viral,political,right,7.57,0.0,3.38,0,True,103.4,0,0,0,0,0.5751,0.2812,57.7
Robert_Reich_average_6TD5GnELG00.webm,6TD5GnELG00,Robert Reich,average,political,left,23.9,0.0,0.1,185.5,True,143.6,13.0,87.0,2,1,0.6233,0.2367,39.7
Robert_Reich_average_8B4SAfL50Rc.webm,8B4SAfL50Rc,Robert Reich,average,political,left,64.73,0.0,4.05,151.0,True,129.2,21.5,78.5,8,2,0.6039,0.3825,43.7
Robert_Reich_average_RawjSlMiR_g.webm,RawjSlMiR_g,Robert Reich,average,political,left,46.43,0.0,0.8,131.0,True,136.0,37.5,62.5,5,4,0.4264,0.4147,56.9
Robert_Reich_average_Uz89YFJpxXw.webm,Uz89YFJpxXw,Robert Reich,average,political,left,22.61,0.0,0.92,172.8,True,86.1,4.5,95.5,1,1,0.7833,0.264,31.6
Robert_Reich_average_WmWKhfWRGhc.webm,WmWKhfWRGhc,Robert Reich,average,political,left,63.1,0.0,12.19,180.4,True,112.3,34.9,65.1,11,5,0.545,0.2855,50.2
Robert_Reich_average_uZTZv3nco4I.webm,uZTZv3nco4I,Robert Reich,average,political,left,26.6,0.0,8.12,134.2,True,92.3,27.3,72.7,2,5,0.5348,0.4403,47.3
Robert_Reich_viral_046-cOAM9qQ.webm,046-cOAM9qQ,Robert Reich,viral,political,left,20.69,0.0,4.37,172.0,True,123.0,10.0,90.0,1,2,0.5136,0.2566,39.1
Robert_Reich_viral_Dxgx5q0QLcI.webm,Dxgx5q0QLcI,Robert Reich,viral,political,left,34.24,0.0,0.2,133.3,True,92.3,27.3,72.7,5,4,0.7135,0.268,45.7
Robert_Reich_viral_Eh3ZMVBEZiY.webm,Eh3ZMVBEZiY,Robert Reich,viral,political,left,16.63,0.0,0.98,33.4,True,95.7,0.0,100.0,0,0,0.8715,0,27.3
Robert_Reich_viral_H1PCVOZLd9w.webm,H1PCVOZLd9w,Robert Reich,viral,political,left,21.23,0.0,4.49,159.3,True,143.6,85.7,14.3,3,8,0.7626,0.243,75.8
Robert_Reich_viral_JYoOlcChiU8.webm,JYoOlcChiU8,Robert Reich,viral,political,left,59.6,0.0,27.47,99.8,True,136.0,15.0,85.0,7,2,0.4925,0.4123,36.5
Robert_Reich_viral_NggFhasidYM.webm,NggFhasidYM,Robert Reich,viral,political,left,82.87,0.0,7.43,162.3,True,107.7,36.1,63.9,10,6,0.5623,0.3053,51.8
Veritasium_average_Jqz_YuyXKJI.webm,Jqz_YuyXKJI,Veritasium,average,non-political,,66.4,0.0,0.17,221.9,True,107.7,15.2,84.8,5,4,0.4897,0.3166,43.5
Veritasium_average_LCQu8EXiDAA.webm,LCQu8EXiDAA,Veritasium,average,non-political,,59.06,0.0,0.0,145.8,True,92.3,27.1,72.9,7,5,0.4507,0.3422,50.9
Veritasium_average_kh9OmFBg8qI.webm,kh9OmFBg8qI,Veritasium,average,non-political,,63.83,0.0,1.53,163.7,True,136.0,33.3,66.7,9,8,0.7349,0.3903,48.2
Veritasium_viral_2FLqOI9jw-E.webm,2FLqOI9jw-E,Veritasium,viral,non-political,,57.68,0.0,0.68,169.0,True,117.5,47.3,52.7,7,9,0.5465,0.5795,59.9
Veritasium_viral_QAWnEVa9vmw.webm,QAWnEVa9vmw,Veritasium,viral,non-political,,58.16,0.0,0.16,121.6,True,112.3,41.5,58.5,7,4,0.4485,0.4979,58.8
Veritasium_viral_k5s1cMNTmGs.webm,k5s1cMNTmGs,Veritasium,viral,non-political,,41.67,0.0,0.11,201.8,True,123.0,33.3,66.7,9,3,0.4931,0.3117,53.4
